id,key,section,section_position,question_number,difficulty,question_type,ans_mc,ans_num,ans_array,ans_min,ans_max,tag_category,tag_group,tag,createdAt,updatedAt,TestId
1,cb1,reading,1,1,e,mc,B,,,,,Literature,No Line Reference,Summary,2020/3/04 0:00,2020/3/04 0:00,1
2,cb1,reading,1,2,e,mc,B,,,,,Literature,No Line Reference,Summary,2020/3/04 0:00,2020/3/04 0:00,1
3,cb1,reading,1,3,h,mc,C,,,,,Literature,Line Reference,Words in Context,2020/3/04 0:00,2020/3/04 0:00,1
4,cb1,reading,1,4,m,mc,A,,,,,Literature,No Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
5,cb1,reading,1,5,m,mc,C,,,,,Literature,Command of Evidence,,2020/3/04 0:00,2020/3/04 0:00,1
6,cb1,reading,1,6,m,mc,D,,,,,Literature,No Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
7,cb1,reading,1,7,h,mc,D,,,,,Literature,Line Reference,Role/Purpose,2020/3/04 0:00,2020/3/04 0:00,1
8,cb1,reading,1,8,e,mc,B,,,,,Literature,Line Reference,Words in Context,2020/3/04 0:00,2020/3/04 0:00,1
9,cb1,reading,1,9,e,mc,C,,,,,Literature,Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
10,cb1,reading,1,10,e,mc,B,,,,,Literature,Command of Evidence,,2020/3/04 0:00,2020/3/04 0:00,1
11,cb1,reading,1,11,e,mc,A,,,,,Social Science,Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
12,cb1,reading,1,12,h,mc,B,,,,,Social Science,Line Reference,Words in Context,2020/3/04 0:00,2020/3/04 0:00,1
13,cb1,reading,1,13,e,mc,D,,,,,Social Science,No Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
14,cb1,reading,1,14,e,mc,A,,,,,Social Science,Command of Evidence,,2020/3/04 0:00,2020/3/04 0:00,1
15,cb1,reading,1,15,m,mc,A,,,,,Social Science,Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
16,cb1,reading,1,16,h,mc,C,,,,,Social Science,Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
17,cb1,reading,1,17,m,mc,C,,,,,Social Science,Command of Evidence,,2020/3/04 0:00,2020/3/04 0:00,1
18,cb1,reading,1,18,e,mc,D,,,,,Social Science,Line Reference,Words in Context,2020/3/04 0:00,2020/3/04 0:00,1
19,cb1,reading,1,19,m,mc,A,,,,,Social Science,Line Reference,Purpose,2020/3/04 0:00,2020/3/04 0:00,1
20,cb1,reading,1,20,e,mc,B,,,,,Social Science,Figure,,2020/3/04 0:00,2020/3/04 0:00,1
21,cb1,reading,1,21,h,mc,A,,,,,Social Science,Figure,,2020/3/04 0:00,2020/3/04 0:00,1
22,cb1,reading,1,22,h,mc,B,,,,,Natural Science,Line Reference,Words in Context,2020/3/04 0:00,2020/3/04 0:00,1
23,cb1,reading,1,23,m,mc,D,,,,,Natural Science,Command of Evidence,,2020/3/04 0:00,2020/3/04 0:00,1
24,cb1,reading,1,24,e,mc,D,,,,,Natural Science,Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
25,cb1,reading,1,25,e,mc,C,,,,,Natural Science,No Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
26,cb1,reading,1,26,m,mc,B,,,,,Natural Science,Line Reference,Inference,2020/3/04 0:00,2020/3/04 0:00,1
27,cb1,reading,1,27,h,mc,D,,,,,Natural Science,Line Reference,Role/Purpose,2020/3/04 0:00,2020/3/04 0:00,1
28,cb1,reading,1,28,m,mc,C,,,,,Natural Science,Figure,,2020/3/04 0:00,2020/3/04 0:00,1
29,cb1,reading,1,29,m,mc,A,,,,,Natural Science,Figure,,2020/3/04 0:00,2020/3/04 0:00,1
30,cb1,reading,1,30,m,mc,A,,,,,Natural Science,Figure,,2020/3/04 0:00,2020/3/04 0:00,1
31,cb1,reading,1,31,m,mc,D,,,,,Natural Science,Figure,,2020/3/04 0:00,2020/3/04 0:00,1
32,cb1,reading,1,32,m,mc,B,,,,,History,No Line Reference,Summary,2020/3/04 0:00,2020/3/04 0:00,1
33,cb1,reading,1,33,m,mc,A,,,,,History,No Line Reference,Summary,2020/3/04 0:00,2020/3/04 0:00,1
34,cb1,reading,1,34,e,mc,C,,,,,History,Line Reference,Words in Context,2020/3/04 0:00,2020/3/04 0:00,1
35,cb1,reading,1,35,e,mc,B,,,,,History,Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
36,cb1,reading,1,36,m,mc,D,,,,,History,No Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
37,cb1,reading,1,37,m,mc,C,,,,,History,Command of Evidence,,2020/3/04 0:00,2020/3/04 0:00,1
38,cb1,reading,1,38,e,mc,C,,,,,History,Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
39,cb1,reading,1,39,e,mc,B,,,,,History,Command of Evidence,,2020/3/04 0:00,2020/3/04 0:00,1
40,cb1,reading,1,40,e,mc,C,,,,,History,Line Reference,Words in Context,2020/3/04 0:00,2020/3/04 0:00,1
41,cb1,reading,1,41,m,mc,B,,,,,History,Line Reference,Role/Purpose,2020/3/04 0:00,2020/3/04 0:00,1
42,cb1,reading,1,42,e,mc,B,,,,,Paired Passage Science,Line Reference,,2020/3/04 0:00,2020/3/04 0:00,1
43,cb1,reading,1,43,m,mc,A,,,,,Paired Passage Science,No Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
44,cb1,reading,1,44,e,mc,A,,,,,Paired Passage Science,Command of Evidence,,2020/3/04 0:00,2020/3/04 0:00,1
45,cb1,reading,1,45,e,mc,D,,,,,Paired Passage Science,Line Reference,Words in Context,2020/3/04 0:00,2020/3/04 0:00,1
46,cb1,reading,1,46,e,mc,C,,,,,Paired Passage Science,Line Reference,Purpose,2020/3/04 0:00,2020/3/04 0:00,1
47,cb1,reading,1,47,m,mc,B,,,,,Paired Passage Science,No Line Reference,Summary,2020/3/04 0:00,2020/3/04 0:00,1
48,cb1,reading,1,48,e,mc,A,,,,,Paired Passage Science,Line Reference,Words in Context,2020/3/04 0:00,2020/3/04 0:00,1
49,cb1,reading,1,49,m,mc,D,,,,,Paired Passage Science,Comparison,,2020/3/04 0:00,2020/3/04 0:00,1
50,cb1,reading,1,50,m,mc,B,,,,,Paired Passage Science,Comparison,,2020/3/04 0:00,2020/3/04 0:00,1
51,cb1,reading,1,51,m,mc,D,,,,,Paired Passage Science,Command of Evidence,,2020/3/04 0:00,2020/3/04 0:00,1
52,cb1,reading,1,52,h,mc,A,,,,,Paired Passage Science,Comparison,,2020/3/04 0:00,2020/3/04 0:00,1
53,cb1,writing,2,1,e,mc,D,,,,,Expression of Ideas,Word Choice,,2020/3/04 0:00,2020/3/04 0:00,1
54,cb1,writing,2,2,h,mc,B,,,,,Expression of Ideas,Focus,Text Content,2020/3/04 0:00,2020/3/04 0:00,1
55,cb1,writing,2,3,e,mc,A,,,,,Standard English Conventions,Possessive,,2020/3/04 0:00,2020/3/04 0:00,1
56,cb1,writing,2,4,e,mc,C,,,,,Standard English Conventions,Punctuation,List,2020/3/04 0:00,2020/3/04 0:00,1
57,cb1,writing,2,5,m,mc,C,,,,,Expression of Ideas,Logical Sequence,,2020/3/04 0:00,2020/3/04 0:00,1
58,cb1,writing,2,6,m,mc,D,,,,,Expression of Ideas,Focus,Adding/Deleting Sentences,2020/3/04 0:00,2020/3/04 0:00,1
59,cb1,writing,2,7,e,mc,B,,,,,Expression of Ideas,Word Choice,,2020/3/04 0:00,2020/3/04 0:00,1
60,cb1,writing,2,8,e,mc,C,,,,,Standard English Conventions,Verb Tense,,2020/3/04 0:00,2020/3/04 0:00,1
61,cb1,writing,2,9,m,mc,A,,,,,Standard English Conventions,Transition,,2020/3/04 0:00,2020/3/04 0:00,1
62,cb1,writing,2,10,h,mc,A,,,,,Expression of Ideas,Word Choice,,2020/3/04 0:00,2020/3/04 0:00,1
63,cb1,writing,2,11,e,mc,B,,,,,Standard English Conventions,Sentence Structure,,2020/3/04 0:00,2020/3/04 0:00,1
64,cb1,writing,2,12,e,mc,B,,,,,Expression of Ideas,Figure,,2020/3/04 0:00,2020/3/04 0:00,1
65,cb1,writing,2,13,e,mc,A,,,,,Standard English Conventions,Punctuation,Sentence Combination,2020/3/04 0:00,2020/3/04 0:00,1
66,cb1,writing,2,14,h,mc,B,,,,,Standard English Conventions,Transition,,2020/3/04 0:00,2020/3/04 0:00,1
67,cb1,writing,2,15,e,mc,C,,,,,Standard English Conventions,Punctuation,Nonessential Clause,2020/3/04 0:00,2020/3/04 0:00,1
68,cb1,writing,2,16,m,mc,C,,,,,Standard English Conventions,Punctuation,Colon/Semicolon,2020/3/04 0:00,2020/3/04 0:00,1
69,cb1,writing,2,17,e,mc,C,,,,,Standard English Conventions,Sentence Structure,,2020/3/04 0:00,2020/3/04 0:00,1
70,cb1,writing,2,18,e,mc,A,,,,,Standard English Conventions,Verb Tense,,2020/3/04 0:00,2020/3/04 0:00,1
71,cb1,writing,2,19,h,mc,D,,,,,Standard English Conventions,Possessive,,2020/3/04 0:00,2020/3/04 0:00,1
72,cb1,writing,2,20,m,mc,D,,,,,Expression of Ideas,Focus,Text Content,2020/3/04 0:00,2020/3/04 0:00,1
73,cb1,writing,2,21,e,mc,B,,,,,Standard English Conventions,Redundancy,,2020/3/04 0:00,2020/3/04 0:00,1
74,cb1,writing,2,22,m,mc,D,,,,,Expression of Ideas,Logical Sequence,,2020/3/04 0:00,2020/3/04 0:00,1
75,cb1,writing,2,23,e,mc,D,,,,,Standard English Conventions,Redundancy,,2020/3/04 0:00,2020/3/04 0:00,1
76,cb1,writing,2,24,m,mc,D,,,,,Standard English Conventions,Clause,Misplaced Modification,2020/3/04 0:00,2020/3/04 0:00,1
77,cb1,writing,2,25,e,mc,B,,,,,Expression of Ideas,Word Choice,,2020/3/04 0:00,2020/3/04 0:00,1
78,cb1,writing,2,26,m,mc,A,,,,,Standard English Conventions,Punctuation,General Punctuation,2020/3/04 0:00,2020/3/04 0:00,1
79,cb1,writing,2,27,e,mc,B,,,,,Standard English Conventions,Transition,,2020/3/04 0:00,2020/3/04 0:00,1
80,cb1,writing,2,28,e,mc,C,,,,,Expression of Ideas,Focus,Adding/Deleting Sentences,2020/3/04 0:00,2020/3/04 0:00,1
81,cb1,writing,2,29,e,mc,B,,,,,Expression of Ideas,Figure,,2020/3/04 0:00,2020/3/04 0:00,1
82,cb1,writing,2,30,e,mc,D,,,,,Expression of Ideas,Word Choice,,2020/3/04 0:00,2020/3/04 0:00,1
83,cb1,writing,2,31,e,mc,C,,,,,Expression of Ideas,Focus,Adding/Deleting Sentences,2020/3/04 0:00,2020/3/04 0:00,1
84,cb1,writing,2,32,m,mc,A,,,,,Standard English Conventions,Punctuation,Colon/Semicolon,2020/3/04 0:00,2020/3/04 0:00,1
85,cb1,writing,2,33,e,mc,A,,,,,Expression of Ideas,Word Choice,,2020/3/04 0:00,2020/3/04 0:00,1
86,cb1,writing,2,34,m,mc,A,,,,,Standard English Conventions,Transition,,2020/3/04 0:00,2020/3/04 0:00,1
87,cb1,writing,2,35,m,mc,A,,,,,Standard English Conventions,Sentence Structure,,2020/3/04 0:00,2020/3/04 0:00,1
88,cb1,writing,2,36,e,mc,B,,,,,Standard English Conventions,Verb Tense,,2020/3/04 0:00,2020/3/04 0:00,1
89,cb1,writing,2,37,m,mc,D,,,,,Expression of Ideas,Focus,Text Content,2020/3/04 0:00,2020/3/04 0:00,1
90,cb1,writing,2,38,h,mc,C,,,,,Standard English Conventions,Transition,,2020/3/04 0:00,2020/3/04 0:00,1
91,cb1,writing,2,39,e,mc,A,,,,,Standard English Conventions,Punctuation,Sentence Combination,2020/3/04 0:00,2020/3/04 0:00,1
92,cb1,writing,2,40,e,mc,B,,,,,Standard English Conventions,Verb Agreement,,2020/3/04 0:00,2020/3/04 0:00,1
93,cb1,writing,2,41,e,mc,B,,,,,Standard English Conventions,Possessive,,2020/3/04 0:00,2020/3/04 0:00,1
94,cb1,writing,2,42,e,mc,C,,,,,Expression of Ideas,Focus,Adding/Deleting Sentences,2020/3/04 0:00,2020/3/04 0:00,1
95,cb1,writing,2,43,m,mc,D,,,,,Standard English Conventions,Sentence Structure,,2020/3/04 0:00,2020/3/04 0:00,1
96,cb1,writing,2,44,m,mc,D,,,,,Standard English Conventions,Possessive,,2020/3/04 0:00,2020/3/04 0:00,1
97,cb1,mathNC,3,1,e,mc,D,,,,,Heart of Algebra,Linear Equations,,2020/3/04 0:00,2020/3/04 0:00,1
98,cb1,mathNC,3,2,e,mc,A,,,,,Additional Topics,Complex Numbers,,2020/3/04 0:00,2020/3/04 0:00,1
99,cb1,mathNC,3,3,e,mc,C,,,,,Heart of Algebra,Build Linear Models,,2020/3/04 0:00,2020/3/04 0:00,1
100,cb1,mathNC,3,4,e,mc,B,,,,,Heart of Algebra,Interpret Linear Coefficients,,2020/3/04 0:00,2020/3/04 0:00,1
101,cb1,mathNC,3,5,e,mc,C,,,,,Passport to Advanced Math,Polynomial Operations,,2020/3/04 0:00,2020/3/04 0:00,1
102,cb1,mathNC,3,6,m,mc,A,,,,,Heart of Algebra,Linear Functions,,2020/3/04 0:00,2020/3/04 0:00,1
103,cb1,mathNC,3,7,m,mc,B,,,,,Passport to Advanced Math,Isolate Quantity of Interest,,2020/3/04 0:00,2020/3/04 0:00,1
104,cb1,mathNC,3,8,m,mc,C,,,,,Heart of Algebra,Structure in Expressions,,2020/3/04 0:00,2020/3/04 0:00,1
105,cb1,mathNC,3,9,m,mc,B,,,,,Heart of Algebra,Linear Systems,,2020/3/04 0:00,2020/3/04 0:00,1
106,cb1,mathNC,3,10,m,mc,A,,,,,Passport to Advanced Math,Function Notation,,2020/3/04 0:00,2020/3/04 0:00,1
107,cb1,mathNC,3,11,m,mc,D,,,,,Heart of Algebra,Linear Systems,,2020/3/04 0:00,2020/3/04 0:00,1
108,cb1,mathNC,3,12,m,mc,D,,,,,Heart of Algebra,Representations of Linear Functions,,2020/3/04 0:00,2020/3/04 0:00,1
109,cb1,mathNC,3,13,h,mc,B,,,,,Passport to Advanced Math,Radical/Rational Equations,,2020/3/04 0:00,2020/3/04 0:00,1
110,cb1,mathNC,3,14,h,mc,A,,,,,Passport to Advanced Math,Exponents,,2020/3/04 0:00,2020/3/04 0:00,1
111,cb1,mathNC,3,15,h,mc,D,,,,,Passport to Advanced Math,Quadratic Equations,,2020/3/04 0:00,2020/3/04 0:00,1
112,cb1,mathNC,3,16,e,num,,2,,,,Passport to Advanced Math,Quadratic Equations,,2020/3/04 0:00,2020/3/04 0:00,1
113,cb1,mathNC,3,17,m,num,,1600,,,,Additional Topics,Congruence/Similarity,,2020/3/04 0:00,2020/3/04 0:00,1
114,cb1,mathNC,3,18,e,num,,7,,,,Heart of Algebra,Linear Systems,,2020/3/04 0:00,2020/3/04 0:00,1
115,cb1,mathNC,3,19,h,num,,0.8,,,,Additional Topics,Trigonometry,,2020/3/04 0:00,2020/3/04 0:00,1
116,cb1,mathNC,3,20,h,num,,100,,,,Passport to Advanced Math,Radical/Rational Equations,,2020/3/04 0:00,2020/3/04 0:00,1
117,cb1,mathC,4,1,e,mc,B,,,,,Problem Solving/Data,Investigate Key Features of Nonlinear Graph,,2020/3/04 0:00,2020/3/04 0:00,1
118,cb1,mathC,4,2,e,mc,C,,,,,Problem Solving/Data,"Ratios, Rates, Proportions, Scale",,2020/3/04 0:00,2020/3/04 0:00,1
119,cb1,mathC,4,3,e,mc,D,,,,,Additional Topics,Congruence/Similarity,,2020/3/04 0:00,2020/3/04 0:00,1
120,cb1,mathC,4,4,e,mc,C,,,,,Heart of Algebra,Linear Equations,,2020/3/04 0:00,2020/3/04 0:00,1
121,cb1,mathC,4,5,e,mc,D,,,,,Problem Solving/Data,Scatterplot,,2020/3/04 0:00,2020/3/04 0:00,1
122,cb1,mathC,4,6,e,mc,D,,,,,Problem Solving/Data,"Units, Unit Conversion",,2020/3/04 0:00,2020/3/04 0:00,1
123,cb1,mathC,4,7,e,mc,C,,,,,Problem Solving/Data,Data Collection and Conclusions,,2020/3/04 0:00,2020/3/04 0:00,1
124,cb1,mathC,4,8,m,mc,D,,,,,Heart of Algebra,Absolute Value,,2020/3/04 0:00,2020/3/04 0:00,1
125,cb1,mathC,4,9,e,mc,A,,,,,Passport to Advanced Math,Isolate Quantity of Interest,,2020/3/04 0:00,2020/3/04 0:00,1
126,cb1,mathC,4,10,m,mc,B,,,,,Heart of Algebra,Linear Equations,,2020/3/04 0:00,2020/3/04 0:00,1
127,cb1,mathC,4,11,m,mc,A,,,,,Heart of Algebra,Linear Inequalities,,2020/3/04 0:00,2020/3/04 0:00,1
128,cb1,mathC,4,12,m,mc,C,,,,,Problem Solving/Data,Center/Shape of Data,,2020/3/04 0:00,2020/3/04 0:00,1
129,cb1,mathC,4,13,m,mc,C,,,,,Problem Solving/Data,Percentages,,2020/3/04 0:00,2020/3/04 0:00,1
130,cb1,mathC,4,14,m,mc,C,,,,,Problem Solving/Data,Center/Shape of Data,,2020/3/04 0:00,2020/3/04 0:00,1
131,cb1,mathC,4,15,m,mc,A,,,,,Heart of Algebra,Investigate Key Features of Linear Graph,,2020/3/04 0:00,2020/3/04 0:00,1
132,cb1,mathC,4,16,m,mc,C,,,,,Heart of Algebra,Linear Functions,,2020/3/04 0:00,2020/3/04 0:00,1
133,cb1,mathC,4,17,m,mc,B,,,,,Problem Solving/Data,Investigate Key Features of Nonlinear Graph,,2020/3/04 0:00,2020/3/04 0:00,1
134,cb1,mathC,4,18,m,mc,A,,,,,Heart of Algebra,System of Linear Inequalities,,2020/3/04 0:00,2020/3/04 0:00,1
135,cb1,mathC,4,19,m,mc,B,,,,,Heart of Algebra,Linear Systems,,2020/3/04 0:00,2020/3/04 0:00,1
136,cb1,mathC,4,20,h,mc,D,,,,,Problem Solving/Data,Percentages,,2020/3/04 0:00,2020/3/04 0:00,1
137,cb1,mathC,4,21,m,mc,C,,,,,Problem Solving/Data,Probability,,2020/3/04 0:00,2020/3/04 0:00,1
138,cb1,mathC,4,22,m,mc,B,,,,,Problem Solving/Data,"Ratios, Rates, Proportions, Scale",,2020/3/04 0:00,2020/3/04 0:00,1
139,cb1,mathC,4,23,m,mc,B,,,,,Problem Solving/Data,"Ratios, Rates, Proportions, Scale",,2020/3/04 0:00,2020/3/04 0:00,1
140,cb1,mathC,4,24,h,mc,A,,,,,Additional Topics,Circles in Coordinate Plane,,2020/3/04 0:00,2020/3/04 0:00,1
141,cb1,mathC,4,25,m,mc,D,,,,,Passport to Advanced Math,Quadratic Equations,,2020/3/04 0:00,2020/3/04 0:00,1
142,cb1,mathC,4,26,h,mc,B,,,,,Problem Solving/Data,Percentages,,2020/3/04 0:00,2020/3/04 0:00,1
143,cb1,mathC,4,27,h,mc,C,,,,,Problem Solving/Data,"Ratios, Rates, Proportions, Scale",,2020/3/04 0:00,2020/3/04 0:00,1
144,cb1,mathC,4,28,h,mc,C,,,,,Heart of Algebra,System of Linear Inequalities,,2020/3/04 0:00,2020/3/04 0:00,1
145,cb1,mathC,4,29,h,mc,D,,,,,Passport to Advanced Math,"Zeros, Factors of Polynomials",,2020/3/04 0:00,2020/3/04 0:00,1
146,cb1,mathC,4,30,h,mc,D,,,,,Passport to Advanced Math,Quadratic Equations,,2020/3/04 0:00,2020/3/04 0:00,1
147,cb1,mathC,4,31,e,arr,,,"4, 5, 6",,,Heart of Algebra,Linear Inequalities,,2020/3/04 0:00,2020/3/04 0:00,1
148,cb1,mathC,4,32,e,num,,107,,,,Heart of Algebra,Linear Inequalities,,2020/3/04 0:00,2020/3/04 0:00,1
149,cb1,mathC,4,33,e,num,,0.625,,,,Problem Solving/Data,Investigate Key Features of Nonlinear Graph,,2020/3/04 0:00,2020/3/04 0:00,1
150,cb1,mathC,4,34,m,num,,96,,,,Problem Solving/Data,"Ratios, Rates, Proportions, Scale",,2020/3/04 0:00,2020/3/04 0:00,1
151,cb1,mathC,4,35,m,num,,6,,,,Additional Topics,Volume,,2020/3/04 0:00,2020/3/04 0:00,1
152,cb1,mathC,4,36,h,num,,3,,,,Passport to Advanced Math,Radical/Rational Equations,,2020/3/04 0:00,2020/3/04 0:00,1
153,cb1,mathC,4,37,m,num,,1.02,,,,Passport to Advanced Math,Exponential Functions,,2020/3/04 0:00,2020/3/04 0:00,1
154,cb1,mathC,4,38,h,num,,6.11,,,,Passport to Advanced Math,Exponential Functions,,2020/3/04 0:00,2020/3/04 0:00,1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
